Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Source_File
7.152557373046875e-06,16777216.0,279620.26666666666,2,120,279620.26666666666,2,0,512,2,syn_flood_randip.pcap
1.1920928955078125e-05,10066329.6,167772.16,2,120,167772.16,2,0,512,2,syn_flood_randip.pcap
5.0067901611328125e-06,23967451.42857143,399457.5238095238,2,120,399457.5238095238,2,0,512,2,syn_flood_randip.pcap
1.9073486328125e-06,62914560.0,1048576.0,2,120,1048576.0,2,0,512,2,syn_flood_randip.pcap
1.1920928955078125e-06,100663296.0,1677721.6,2,120,1677721.6,2,0,512,2,syn_flood_randip.pcap
4.0531158447265625e-06,29606851.76470588,493447.5294117647,2,120,493447.5294117647,2,0,512,2,syn_flood_randip.pcap
2.1457672119140625e-06,55924053.333333336,932067.5555555555,2,120,932067.5555555555,2,0,512,2,syn_flood_randip.pcap
9.5367431640625e-07,125829120.0,2097152.0,2,120,2097152.0,2,0,512,2,syn_flood_randip.pcap
3.0994415283203125e-06,38716652.307692304,645277.5384615385,2,120,645277.5384615385,2,0,512,2,syn_flood_randip.pcap
2.86102294921875e-06,41943040.0,699050.6666666666,2,120,699050.6666666666,2,0,512,2,syn_flood_randip.pcap
3.814697265625e-06,31457280.0,524288.0,2,120,524288.0,2,0,512,2,syn_flood_randip.pcap
1.1205673217773438e-05,10708861.276595745,178481.02127659574,2,120,178481.02127659574,2,0,512,2,syn_flood_randip.pcap
8.106231689453125e-06,14803425.88235294,246723.76470588235,2,120,246723.76470588235,2,0,512,2,syn_flood_randip.pcap
1.4066696166992188e-05,8530787.79661017,142179.7966101695,2,120,142179.7966101695,2,0,512,2,syn_flood_randip.pcap
6.9141387939453125e-06,17355740.689655174,289262.3448275862,2,120,289262.3448275862,2,0,512,2,syn_flood_randip.pcap
5.9604644775390625e-06,20132659.2,335544.32,2,120,335544.32,2,0,512,2,syn_flood_randip.pcap
1.5020370483398438e-05,7989150.476190476,133152.50793650793,2,120,133152.50793650793,2,0,512,2,syn_flood_randip.pcap
1e-06,120000000.0,2000000.0,2,120,2000000.0,2,0,512,2,syn_flood_randip.pcap
7.867813110351562e-06,15252014.545454545,254200.24242424243,2,120,254200.24242424243,2,0,512,2,syn_flood_randip.pcap
1.811981201171875e-05,6622585.263157895,110376.42105263157,2,120,110376.42105263157,2,0,512,2,syn_flood_randip.pcap
1.0967254638671875e-05,10941662.608695652,182361.04347826086,2,120,182361.04347826086,2,0,512,2,syn_flood_randip.pcap
1.9788742065429688e-05,6064053.975903614,101067.56626506025,2,120,101067.56626506025,2,0,512,2,syn_flood_randip.pcap
1.71661376953125e-05,6990506.666666667,116508.44444444444,2,120,116508.44444444444,2,0,512,2,syn_flood_randip.pcap
1.0013580322265625e-05,11983725.714285715,199728.7619047619,2,120,199728.7619047619,2,0,512,2,syn_flood_randip.pcap
1.9073486328125e-05,6291456.0,104857.6,2,120,104857.6,2,0,512,2,syn_flood_randip.pcap
1.3828277587890625e-05,8677870.344827587,144631.1724137931,2,120,144631.1724137931,2,0,512,2,syn_flood_randip.pcap
7.796287536621094e-05,1539194.128440367,25653.235474006116,2,120,25653.235474006116,2,0,512,2,syn_flood_randip.pcap
9.059906005859375e-06,13245170.52631579,220752.84210526315,2,120,220752.84210526315,2,0,512,2,syn_flood_randip.pcap
1.4781951904296875e-05,8118007.741935484,135300.12903225806,2,120,135300.12903225806,2,0,512,2,syn_flood_randip.pcap
3.0040740966796875e-05,3994575.238095238,66576.25396825396,2,120,66576.25396825396,2,0,512,2,syn_flood_randip.pcap
2.8133392333984375e-05,4265393.898305085,71089.89830508475,2,120,71089.89830508475,2,0,512,2,syn_flood_randip.pcap
1.2159347534179688e-05,9868950.588235294,164482.50980392157,2,120,164482.50980392157,2,0,512,2,syn_flood_randip.pcap
2.09808349609375e-05,5719505.454545454,95325.09090909091,2,120,95325.09090909091,2,0,512,2,syn_flood_randip.pcap
8.821487426757812e-06,13603148.108108109,226719.13513513515,2,120,226719.13513513515,2,0,512,2,syn_flood_randip.pcap
1.6927719116210938e-05,7088964.507042253,118149.40845070423,2,120,118149.40845070423,2,0,512,2,syn_flood_randip.pcap
1.2874603271484375e-05,9320675.555555556,155344.59259259258,2,120,155344.59259259258,2,0,512,2,syn_flood_randip.pcap
1.7881393432617188e-05,6710886.4,111848.10666666667,2,120,111848.10666666667,2,0,512,2,syn_flood_randip.pcap
2.002716064453125e-05,5991862.857142857,99864.38095238095,2,120,99864.38095238095,2,0,512,2,syn_flood_randip.pcap
7.104873657226562e-05,1688981.476510067,28149.691275167785,2,120,28149.691275167785,2,0,512,2,syn_flood_randip.pcap
2.47955322265625e-05,4839581.538461538,80659.69230769231,2,120,80659.69230769231,2,0,512,2,syn_flood_randip.pcap
1.3113021850585938e-05,9151208.727272727,152520.14545454545,2,120,152520.14545454545,2,0,512,2,syn_flood_randip.pcap
2.193450927734375e-05,5470831.304347826,91180.52173913043,2,120,91180.52173913043,2,0,512,2,syn_flood_randip.pcap
