Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Source_File
8.106231689453125e-06,13569807.05882353,246723.76470588235,2,110,246723.76470588235,0,2,250,2,normal_download_heavy.pcap
1e-06,66000000.0,1000000.0,1,66,1000000.0,0,1,83,0,normal_download_heavy.pcap
1e-06,80000000.0,1000000.0,1,80,1000000.0,0,1,591,1,normal_download_heavy.pcap
9.059906005859375e-06,11920653.47368421,220752.84210526315,2,108,220752.84210526315,0,2,253,0,normal_download_heavy.pcap
0.26412510871887207,5747.276384903337,7.572169150070273,2,1518,7.572169150070273,0,2,160,2,normal_download_heavy.pcap
9.202957153320312e-05,3868321.8238341967,43464.290155440416,4,356,43464.290155440416,0,4,255,4,normal_download_heavy.pcap
1.0967254638671875e-05,9847496.347826088,182361.04347826086,2,108,182361.04347826086,0,2,253,0,normal_download_heavy.pcap
1.0967254638671875e-05,10029857.391304348,182361.04347826086,2,110,182361.04347826086,0,2,251,2,normal_download_heavy.pcap
1e-06,66000000.0,1000000.0,1,66,1000000.0,0,1,76,0,normal_download_heavy.pcap
1.2335119247436523,176.731165404262,3.242773677142422,4,218,3.242773677142422,0,4,251,2,normal_download_heavy.pcap
1e-06,66000000.0,1000000.0,1,66,1000000.0,0,1,553,0,normal_download_heavy.pcap
7.152557373046875e-06,15379114.666666666,279620.26666666666,2,110,279620.26666666666,0,2,2043,2,normal_download_heavy.pcap
1e-06,66000000.0,1000000.0,1,66,1000000.0,0,1,600,0,normal_download_heavy.pcap
8.821487426757812e-06,12242833.297297297,226719.13513513515,2,108,226719.13513513515,0,2,253,0,normal_download_heavy.pcap
1.0013580322265625e-05,10785353.142857144,199728.7619047619,2,108,199728.7619047619,0,2,253,0,normal_download_heavy.pcap
0.2357330322265625,572.6817269726196,8.484173732927697,2,135,8.484173732927697,0,2,76,2,normal_download_heavy.pcap
