Feature,Importance
Init_Win_bytes_forward,0.11174543969050915
Inbound,0.11120213108724712
ACK Flag Count,0.11069386898602478
Destination Port,0.09264562241380747
URG Flag Count,0.04978201918031576
Packet Length Variance,0.036752421168688154
Packet Length Std,0.036169794993040634
Fwd Packet Length Max,0.035122703162794734
CWE Flag Count,0.030412016036306302
Packet Length Mean,0.028697593852751842
Fwd Packet Length Mean,0.02794016603478189
Max Packet Length,0.025096330390229144
Subflow Fwd Bytes,0.02358310223560656
Total Length of Fwd Packets,0.022416349028499268
Source Port,0.0217085725889388
Flow Bytes/s,0.02007942385942761
Init_Win_bytes_backward,0.018340510176507202
Average Packet Size,0.017868535638640187
Fwd Packet Length Min,0.015027485901488384
Flow Packets/s,0.014988594855710446
Avg Fwd Segment Size,0.014059298026610842
Min Packet Length,0.01393083178123377
act_data_pkt_fwd,0.01340437271510979
Fwd Header Length,0.011464203616425453
Subflow Fwd Packets,0.009851624126036703
Flow IAT Mean,0.008455767385423486
Flow Duration,0.007893235210783993
Fwd Packets/s,0.007434097640416857
Bwd Packet Length Mean,0.006547369707408635
Avg Bwd Segment Size,0.006490636936655293
Flow IAT Max,0.005226335549251486
Fwd Header Length.1,0.005015160622750878
Flow IAT Std,0.003972447255680492
Bwd Packet Length Max,0.003721904469230449
Fwd IAT Mean,0.0035898145400240123
Fwd Packet Length Std,0.002801816249236509
Fwd IAT Max,0.0025681058726000497
Total Fwd Packets,0.0024679840803629007
min_seg_size_forward,0.0023152136901503488
Down/Up Ratio,0.00205770092483711
Idle Std,0.002024163397702265
Fwd IAT Total,0.001889210081798206
Active Min,0.0018042335375848717
Total Length of Bwd Packets,0.0016364291526556496
Idle Max,0.001548023456599922
Bwd Header Length,0.0014357153265310578
Fwd PSH Flags,0.0009426686375466258
RST Flag Count,0.0008434418032352076
Idle Mean,0.0008324376435657527
Fwd IAT Std,0.0007221403343372108
Active Mean,0.0006299135854857719
Flow IAT Min,0.0006137380443587417
Bwd Packets/s,0.00039514265583588063
Fwd IAT Min,0.00033569877142410086
SYN Flag Count,0.00017215474666182974
Protocol,0.00011434540699408137
Subflow Bwd Packets,0.00010447155182817739
Total Backward Packets,9.74822906390388e-05
Bwd IAT Total,5.36004344371196e-05
Active Max,5.2893094911492575e-05
Bwd IAT Mean,5.2652609576121354e-05
Bwd IAT Max,3.631210836962933e-05
Active Std,2.8798917335258618e-05
Bwd IAT Min,2.7555748902808412e-05
Bwd Packet Length Min,2.2145592971765784e-05
Bwd IAT Std,1.9843174239782077e-05
Subflow Bwd Bytes,1.6115174746488625e-05
Bwd Packet Length Std,5.53088744142659e-06
Idle Min,2.5401507391973866e-06
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
ECE Flag Count,0.0
FIN Flag Count,0.0
Bwd URG Flags,0.0
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
PSH Flag Count,0.0
